Class;sepal_length;sepal_width;petal_length;petal_width;species; ; ;C0 = (5.47, 25.65, 25.24, 7.06)
C0;5;3.6;1.4;0.2;Iris-setosa; ; ;C1 = (50.36, 34.72, 14.69, 2.44)
C0;5;3.4;1.5;0.2;Iris-setosa; ; ;C2 = (55.75, 16.5, 7.75, 9.62)
C0;5;3;1.6;0.2;Iris-setosa; ; ;C3 = (67.03, 30.22, 56.03, 19.06)
C0;5;3.4;1.6;0.4;Iris-setosa; ; ;C4 = (64.17, 3, 51.17, 16.72)
C0;5;3.2;1.2;0.2;Iris-setosa; ; ;C5 = (59.03, 27.55, 43.16, 11.42)
C0;5;3.5;1.3;0.3;Iris-setosa
C0;5;3.5;1.6;0.6;Iris-setosa
C0;5;3.3;1.4;0.2;Iris-setosa
C0;7;3.2;4.7;1.4;Iris-versicolor
C0;5;2;3.5;1;Iris-versicolor
C0;6;2.2;4;1;Iris-versicolor
C0;6;2.9;4.5;1.5;Iris-versicolor
C0;6;2.7;5.1;1.6;Iris-versicolor
C0;6;3.4;4.5;1.6;Iris-versicolor
C0;5;2.3;3.3;1;Iris-versicolor
C0;6;2.2;5;1.5;Iris-virginica
C0;6;3;4.8;1.8;Iris-virginica
C1;5.1;3.5;1.4;0.2;Iris-setosa
C1;4.7;3.2;1.3;0.2;Iris-setosa
C1;4.6;3.1;1.5;0.2;Iris-setosa
C1;5.4;3.9;1.7;0.4;Iris-setosa
C1;4.6;3.4;1.4;0.3;Iris-setosa
C1;4.4;2.9;1.4;0.2;Iris-setosa
C1;4.9;3.1;1.5;0.1;Iris-setosa
C1;5.4;3.7;1.5;0.2;Iris-setosa
C1;4.8;3.4;1.6;0.2;Iris-setosa
C1;5.7;4.4;1.5;0.4;Iris-setosa
C1;5.4;3.9;1.3;0.4;Iris-setosa
C1;5.1;3.5;1.4;0.3;Iris-setosa
C1;5.7;3.8;1.7;0.3;Iris-setosa
C1;5.1;3.8;1.5;0.3;Iris-setosa
C1;5.4;3.4;1.7;0.2;Iris-setosa
C1;5.1;3.7;1.5;0.4;Iris-setosa
C1;4.6;3.6;1;0.2;Iris-setosa
C1;5.1;3.3;1.7;0.5;Iris-setosa
C1;4.8;3.4;1.9;0.2;Iris-setosa
C1;5.2;3.5;1.5;0.2;Iris-setosa
C1;5.2;3.4;1.4;0.2;Iris-setosa
C1;4.7;3.2;1.6;0.2;Iris-setosa
C1;4.8;3.1;1.6;0.2;Iris-setosa
C1;5.4;3.4;1.5;0.4;Iris-setosa
C1;5.2;4.1;1.5;0.1;Iris-setosa
C1;5.5;4.2;1.4;0.2;Iris-setosa
